Fármaco(s),Forma Farmacéutica,Concentración,Fracción (Art. 226 LGS),Denominación Distintiva,Registro Sanitario,Titular,Indicación terapéutica
PERMETRINA,Solución,"1 g / 100 mL,
5 g / 100 mL",VI,HERKLIN ESENCIAL,177M91 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Pediculicida.
PICOSULFATO sódico,Jarabe,100 mg / 100 mL,VI,ANARA,070M91 SSA,"PRODUCTOS FARMACÉUTICOS,
S.A. DE C.V.",Laxante.
PIDOTIMOD,Solución,"400 mg / 7 mL y
800 mg / 7 mL",IV,ADIMOD,445M94 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Para el tratamiento de los episodios de exacerbación aguda en pacientes adultos con bronquitis crónica.
PIDOTIMOD,Tableta,400 mg  y  800 mg,IV,ADIMOD,594M94 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Inmunomodulador.
PIKETOPROFENO,Aerosol,4 g / 100 g,IV,CALMATEL,093M2011 SSA,"INDUSTRIAS FARMACÉUTICAS ALMIRALL, S.A.",Antiinflamatorio tópico.
PIKETOPROFENO,Gel,1.8 g / 100 g,IV,CALMATEL,062M2007 SSA,"INDUSTRIAS FARMACÉUTICAS ALMIRALL, S.A.",Antiinflamatorio no esteroideo con acción analgésica.
"PIKETOPROFENO, Clorhidrato de",Crema,1.8 g / 100 g,IV,CALMATEL,166M2004 SSA,"INDUSTRIAS FARMACÉUTICAS ALMIRALL, S.A.",Antiinflamatorio con acción analgésica.
PIMECROLIMUS,Crema,"0.01 g / 1 g y
1 g / 100 g",IV,ELIDEL,149M2002 SSA,"LABORATORIOS GROSSMAN, S.A.",Dermatitis atópica.
"PINAVERIO, Bromuro de",Tableta,100 mg,IV,DICETEL,0440M79 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Tratamiento del síndrome de intestino irritable.
"PINAVERIO, Bromuro de / DIMETICONA",Cápsula,100 mg / 300 mg,IV,ALEVIAN DUO,159M2006 SSA,"TAKEDA MÉXICO, S.A. DE C.V.","Antiinflamatorio, síndrome de intestino irritable."
PINAZEPAM,Cápsula,5 mg,II,YUNIR,084M2004 SSA,"INDUSTRIAS QUÍMICO FARMACÉUTICAS AMERICANAS, S.A. DE C.V.","Anticonvulsivante, ansiolítico, relajante muscular."
"PIPAZETATO, Clorhidrato de",Jarabe,0.2 g / 100 mL,IV,SELVIGON,67908 SSA,"GRIMANN, S.A. DE C.V.",Antitusivo.
PIPERACILINA monohidratada / TAZOBACTAM,Solución (Inyectable),4 g / 500 mg,IV,TAZOCIN EF,192M2015 SSA,"PFIZER, S.A. DE C.V.",Antibiótico para infecciones ocasionadas por gérmenes productores de betalactamasas.
"PIPERIDOLATO, Clorhidrato de",Comprimido,100 mg,IV,DACTIL OB,59066 SSA,"EUROFARMA LABORATÓRIOS, S.A.",Antiespasmódico.
PIRACETAM,Tableta,800 mg  y  1200 mg,IV,NOOTROPIL,036M85 SSA,"PRODUCTOS FARMACÉUTICOS,
S.A. DE C.V.","Para el tratamiento sintomático del síndrome psicorgánico que incluyen: pérdida de la memoria, trastornos de atención y falta de dirección, así como para el tratamiento de la mioclonía cortical, del vértigo y trastornos del equilibrio, insuficiencia vascular cerebral y dislexia en combinación con terapia de lenguaje."
PIRACETAM,Solución,20 mg / 100 mL,IV,NOOTROPIL,89175 SSA,"PRODUCTOS FARMACÉUTICOS,
S.A. DE C.V.","Para el tratamiento sintomático del síndrome psicorgánico que incluyen: pérdida de la memoria, trastornos de atención y falta de dirección, así como para el tratamiento de la mioclonía cortical, del vértigo y trastornos del equilibrio, insuficiencia vascular cerebral y dislexia en combinación con terapia de lenguaje."
"PIRANTEL, Pamoato de",Tableta,250 mg,V,COMBANTRIN,76888 SSA,"PFIZER, S.A. DE C.V.",Antihelmíntico.
"PIRANTEL, Pamoato de",Suspensión,5 g / 100 mL,V,COMBANTRIN,76803 SSA,"PFIZER, S.A. DE C.V.",Antihelmíntico.
"PIRIDOSTIGMINA, Bromuro de",Tableta,60 mg,IV,MESTINON,44564 SSA,"LABORATORIOS GROSSMAN, S.A.","Miastenia gravis, parasimpaticomimético, antídoto para bloqueadores musculares no despolarizantes."
"PIRIDOSTIGMINA, Bromuro de",Tableta (Liberación prolongada),180 mg,IV,MESTINON TIMESPAN,530M2002 SSA,"LABORATORIOS GROSSMAN, S.A.",Miastenia Gravis.
PIRIMETAMINA,Tableta,25 mg,IV,DARAPRIM,40259 SSA,"DINAFARMA, S.A. DE C.V.",Para el tratamiento y profilaxis de malaria y toxoplasmosis.
"PIRITINOL, diclorhidrato de",Tableta,200 mg,IV,ENCEPHABOL,61495 SSA,"MERCK, S.A. DE C.V.",Oxigenador cerebral.
PIROXICAM,Cápsula,20 mg,IV,FELDENE,188M80 SSA,"PFIZER, S.A. DE C.V.",Antiinflamatorio no esteroideo.
PIROXICAM,Tableta,20 mg  y  40 mg,IV,DIXONAL,263M81 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.",Antiinflamatorio no esteroideo (antirreumático) con acción analgésica.
PITAVASTATINA CÁLCICA,Tableta,2 mg  y  4 mg,IV,REDEVANT,173M2011 SSA,ELI LILLY AND COMPANY,Hipocolesterolemiante.
POLICRESULENO,Óvulo,0.090 g,IV,ALBOTHYL,70315 SSA,"EUROFARMA LABORATÓRIOS, S.A.",Para el tratamiento de las infecciones vaginales mixtas.
POLICRESULENO,Crema,1.8 g / 100 g,IV,ALBOTHYL,78775 SSA,"EUROFARMA LABORATÓRIOS, S.A.","Queratolítico, antiséptico de aplicación cutánea."
POLICRESULENO,Solución,1 g / 100 mL,IV,ALBOTHYL V,124M92 SSA,"EUROFARMA LABORATÓRIOS, S.A.",Para el tratamiento de la infecciones vaginales mixtas.
POLICRESULENO,Solución,"407.5 mg / 1 mL   y
40.75 g / 100 mL",IV,ALBOTHYL,64583 SSA,"EUROFARMA LABORATÓRIOS, S.A.",Para el tratamiento de la infecciones vaginales mixtas. Para el tratamiento de las erosiones y la vagina.
POLICRESULENO,Gel,1.8 g / 100 g,IV,ALBOTHYL,64592 SSA,"EUROFARMA LABORATÓRIOS, S.A.","Tricomonicida vaginal, antimicótico vaginal."
"POLIDOCANOL / LIDOCAINA,
Clorhidrato de",Solución,"0.3818 g / 0.4056 g /
100 mL",V,NENE-DENT,64347 SSA,"TAKEDA MÉXICO, S.A. DE C.V.",Anestésico local.
"POLIDOCANOL/  LIDOCAINA,
Clorhidrato de",Gel,"0.320 g / 0.340 g /
100 g",VI,NENE-DENT,510M2001 SSA,"EUROFARMA LABORATÓRIOS, S.A.",Anestésico local.
POLIESTIRENO SULFONATO CÁLCICO,Suspensión,14.96 g,IV,NOVEFAZOL,109M2007 SSA,"PROBIOMED, S.A. DE C.V.",Prevención y tratamiento de la hiperkalemia.
POSACONAZOL,Suspensión,40 mg / mL,IV,SPRIAFIL,369M2014 SSA,MERCK SHARP & DOHME B.V.,"En el tratamiento profiláctico de infecciones fúngicas invasivas en pacientes que están en alto riesgo; En el tratamiento de Aspergilosis, Candidiasis esofágica o candidemia, Fusariosis, Zigomicosis, Criptococcosis, Cromoblastomicosis, Micetoma, Coccidioidomicosis, Candidiasis orofaríngea."
POSACONAZOL,Tableta (Liberación retardada),100 mg,IV,SPRIAFIL,018M2017 SSA,MERCK SHARP & DOHME B.V.,"En el tratamiento profiláctico de infecciones fúngicas invasivas en pacientes que están en alto riesgo. En el tratamiento de Aspergilosis, Candidiasis esofágica, o Candidemia, Fusariosis, Zigomicosis, Criptococcosis, Cromboblastomicosis, Micetoma, Coccidioidomicosis."
"POTASIO, Cloruro de",Tableta (Liberación prolongada),750 mg  y  1500 mg,IV,CORPOTASIN LP,083M84 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Hipopotasemia.
"POTASIO, Cloruro de",Tableta,500 mg,IV,KALIOLITE,38134 SSA,"MERCK, S.A. DE C.V.",Para el tratamiento de la Hipocalemia
"POTASIO, Gluconato de",Polvo,"4.68 g / sobre Equivalente a
20 mEq de potasio.",IV,CORPOTASIN GK,76778 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Sustituto de potasio.
PRAMIPEXOL,Tableta (Liberación prolongada),"0.375 mg, 0.75 mg,
1.5 mg, 3 mg
y  4.5 mg",IV,SIFROL ER,037M2010 SSA,"BOEHRINGER INGELHEIM PROMECO,
S.A. DE C.V.",Antiparkinsoniano.
"PRAMIPEXOL, Diclorhidrato de",Tableta,"0.125 mg, 0.25 mg, 0.5
mg  y  1 mg",IV,SIFROL,062M99 SSA,"BOEHRINGER INGELHEIM PROMECO,
S.A. DE C.V.","Antiparkinsoniano, para el tratamiento del síndrome de piernas inquietas."
PRASTERONA,Tableta,50 mg,V,BIODHEA,604M97 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.",Coadyuvante para mejorar la disminución de la capacidad física o mental en adultos.
PRASTERONA,Cápsula,50 mg,V,BIOLAIF,605M97 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.",Coadyuvante para mejorar la disminución de la capacidad física o mental en adultos.
PRAZICUANTEL,Tableta,600 mg,IV,CISTICID,13M83 SSA,"MERCK, S.A. DE C.V.",Neurocisticercosis.
PRAZOSINA clorhidrato de,Cápsula,1 mg  y  2mg,IV,MINIPRES,79195 SSA,"PFIZER, S.A. DE C.V.",Antihipertensivo.
PREDNICARBATO,Crema,250 mg / 100 g,IV,PEITEL,424M2016 SSA,"FERRER INTERNACIONAL, S.A.","Dermatitis, eccema y psoriasis."
"PREDNISOLONA, Acetato de",Suspensión,10 mg / 1mL,IV,PREDNEFRIN SF,69456 SSA,ABBVIE INC.,Antiinflamatorio de uso oftálmico.
"PREDNISOLONA, Acetato de/ Sulfacetamida sódica",Ungüento,5 mg / 100 mg / 1 g,IV,DELTAMID UNGENA,58629 SSA,"LABORATORIOS SOPHIA, S.A. DE C.V.",Corticoide y anti infeccioso de uso oftálmico.
"PREDNISOLONA, Fosfato sódico de",Solución,5 mg / 1 mL,IV,DELTA CORTI OFTENO,47454 SSA,"LABORATORIOS SOPHIA, S.A. DE C.V.",Corticoesteroide oftálmico.
PREDNISONA,Tableta,"5 mg, 20 mg  y  50 mg",IV,METICORTEN,44942 SSA,ASPEN PHARMA PTY LTD,Corticosteroide sistémico.
PREGABALINA,Cápsula,"25 mg, 50 mg, 75 mg,
150 mg   y  300 mg",IV,LYRICA,530M2004 SSA,"PFIZER, S.A. DE C.V.","Analgésico, Anticonvulsivante, Ansiolítico, Síndrome de Fibromialgia."
PREGABALINA,Solución,2 g / 100 mL,IV,LYRICA,186M2014 SSA,"PFIZER, S.A. DE C.V.","Analgésico, anticonvulsivante, ansiolítico, síndrome de fibromialgia."
PRIMIDONA,Tableta,250 mg,IV,MYSOLINE,40520 SSA,"LABORATORIOS COLUMBIA, S.A. DE C.V.",Antiepiléptico.
PROBENECIDA,Tableta,500 mg,IV,BENECID VALDECASAS,40921 SSA,"LABORATORIOS VALDECASAS, S.A.",Uricosúrico.
PROGESTERONA,Suspensión (Inyectable),"100 mg / 1 mL,
200 mg / 2 mL  y
300 mg / 2.75 mL",IV,PROSPHERE,181M2005 SSA,"PRODUCTOS CIENTÍFICOS, S.A. DE C.V.",Progestágeno
PROGESTERONA,Solución (Inyectable),50 mg / 2 mL,IV,CUERPO AMARILLO FUERTE,13571 SSA,"GRIMANN, S.A. DE C.V.",Progestágeno.
PROGESTERONA,Gel,90m g / 1.125 g,IV,CRINONE,303M97 SSA,"MERCK, S.A. DE C.V.",Progestágeno de uso tópico.
PROGESTERONA,Tableta,100 mg,IV,ENDOMETRIN,059M2017 SSA,FERRING GMBH,Para el refuerzo luteínico como parte de un programa de tratamiento de tecnología de reproducción asistida en mujeres.
PROGESTERONA,Cápsula,100 mg  y  200 mg,IV,UTROGESTAN,188M93 SSA,LABORATOIRES BESINS INTERNACIONAL,"Síndrome Pre-menstrual, irregularidades menstruales, Mastopatía benigna, Premenopausia, Post-menopausia, infertilidad debido a deficiencia lútea, amenaza de aborto, amenaza de parto pretérmino."
PROGESTERONA / ESTRADIOL,Solución (Inyectable),50 mg / 5 mg / mL,IV,METRIGEN FUERTE,51747 SSA,ASPEN PHARMA PTY LTD,Estrógeno Progestágeno Sistémico.
PROGESTERONA / ESTRADIOL,Suspensión  (Inyectable / Liberación prolongada),"(15 mg, 0.5 mg) / 0.5 mL
y  (20 mg, 1 mg) / 1 mL",IV,JUVENUM,022M2013 SSA,"PRODUCTOS CIENTÍFICOS, S.A. DE C.V.",Terapia de reemplazo hormonal.
"PROPAFENONA, Clorhidrato de",Tableta,150 mg  y  300 mg,IV,NORFENON,079M82 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Antiarrítmico.
"PROPANOLOL, clorhidrato de",Tableta,10 mg  y  40 mg,IV,INDERALICI,64082 SSA,"LABORATORIOS QUIMPHARMA,
S.A. DE C.V.","Antimigrañoso, antihipertensivo, bloqueador de los receptores beta-adrenérgicos."
PROPOFOL,Emulsión (Inyectable),"1 g / 100 mL   y
200 mg / 20 mL",IV,DIPRIVAN,311M87 SSA,"REPRESENTACIONES E INVESTIGACIONES MÉDICAS, S.A. DE C.V.",Anestésico general.
PRUCALOPRIDA,Comprimido,1 mg  y  2 mg,IV,RESOTRANS,066M2012 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Estimulante de la motilidad gastrointestinal.
QUETIAPINA,Tableta,"25 mg, 100 mg  y
300 mg",IV,SEROQUEL,071M98 SSA,"ASTRAZENECA, S.A. DE C.V.","Antipsicótico.Para el tratamiento de psicosis agudas y crónicas, incluyendo esquizofrenia. Trastorno bipolar."
QUETIAPINA,Tableta (Liberación prolongada),"50 mg, 150 mg  y
300 mg",IV,SEROQUEL XR,113M2012 SSA,"ASTRAZENECA, S.A. DE C.V.","Esquizofrenia, trastorno bipolar, trastorno depresivo mayor y trastorno de ansiedad generalizada."
"QUINAPRIL, clorhidrato de",Tableta,"10 mg, 20 mg  y
40 mg",IV,ACUPRIL,341M90 SSA,"PFIZER, S.A. DE C.V.",Antihipertensivo.
"RABEPRAZOL, sódico",Tableta (Liberación retardada),10 mg  y  20 mg,IV,PARIET,505M98 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Para el tratamiento de la úlcera péptica gástrica y duodenal.
RACECADOTRILO,Cápsula,100 mg,IV,HIDRASEC,594M98 SSA,"FERRER INTERNACIONAL, S.A.",Antidiarreico.
RACECADOTRILO,Granulado,10 mg  y  30 mg,IV,HIDRASEC,125M2000 SSA,"FERRER INTERNACIONAL, S.A.",Antidiarreico.
"RALOXIFENO, Clorhidrato de",Tableta,60 mg,IV,EVISTA,586M97 SSA,ELI LILLY AND COMPANY,"Tratamiento y prevención de la osteoporosis en mujeres postmenopáusicas, prevención del cáncer de mama en mujeres postmenopáusicas con osteoporosis."
RALTEGRAVIR potásico,Comprimido,400 mg,IV,ISENTRESS,308M2007 SSA,MERCK SHARP & DOHME B.V.,Indicado en combinación de otros antirretrovirales para el tratamiento de la infección por el virus de la inmunodeficiencia humana (VIH-1).
RAMIPRIL,Tableta,"2.5 mg, 5 mg  y
10 mg",IV,TRITACE,040M92 SSA,"DINAFARMA, S.A. DE C.V.",Antihipertensivo.
RANELATO DE ESTRONCIO,Granulado,2 g,IV,PROTOS,609M2005 SSA,"LABORATORIOS SERVIER, S.L.",Tratamiento y prevención de la osteoporosis en mujeres postmenopáusicas.
"RASAGILINA, Mesilato de",Tableta,1 mg,IV,AZILECT,156M2006 SSA,"LEMERY, S.A. DE C.V.",Antiparkinsoniano.
"REMIFENTANILO, Clorhidrato de",Solución (Inyectable),2 mg  y  5 mg,I,ULTIVA,541M98 SSA,ASPEN PHARMA PTY LTD,Analgésico narcótico.
RIBAVIRINA,Cápsula,400 mg,IV,VILONA,85081 SSA,"TECNOFARMA, S.A. DE C.V.","Tratamiento de infecciones virales como herpes labial, gingivoestomatitis herpética, herpes genital primario y recurrente incluyendo la profilaxis; herpes zoster y varicela en pacientes inmunocompetentes e inmunodeprimidos, parotiditis, hepatitis viral A, B y C agudas y, B y C crónicas, infecciones respiratorias por virus sincicial respiratorio, parainfluenza e influenza A y B."
RIFAMICINA SV sal sódica,Solución,1 g / 100 mL,IV,RIFOCYNA,210M87 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.",Antibiótico tópico.
RIFAMPICINA,Cápsula,300 mg,IV,RIFADIN,69441 SSA,"SANOFI PASTEUR, S.A. DE C.V.",Antibiótico para infecciones ocasionadas por bacterias susceptibles.
RIFAMPICINA,Suspensión,2 g / 100 mL,IV,RIFADIN,70964 SSA,"SANOFI-AVENTIS DE MÉXICO,
S.A. DE C.V.",Antifímico para infecciones ocasionadas por gérmenes susceptibles.
"RIFAMPICINA / ISONIAZIDA / PIRAZINAMIDA / ETANBUTOL,
Clorhidrato de",Tableta,"150 mg / 75 mg /
400 mg / 300 mg",IV,DOTBAL,488M2003 SSA,"LABORATORIOS SILANES, S.A. DE C.V.",Tratamiento de la tuberculosis.
RIFAXIMINA  (Forma alfa),Tableta,"200 mg, 400 mg  y
550 mg",IV,FLONORM,472M98 SSA,ALFASIGMA S.P.A.,Antibiótico para infecciones ocasionadas por bacterias susceptibles.
RIFAXIMINA,Suspensión,100 mg / 5 mL,IV,FLONORM,033M99 SSA,ALFASIGMA S.P.A.,Antibiótico para infecciones ocasionadas por bacterias susceptibles.
RILUZOLE,Tableta,50 mg,IV,RILUTEK,133M97 SSA,"SANOFI-AVENTIS DE MÉXICO,
S.A. DE C.V.",Para el tratamiento de la esclerosis múltiple
"RIMANTADINA, Clorhidrato de",Solución,1 g/100 mL  y 5 g /100 mL,IV,GABIROL,237M98 SSA,"PRODUCTOS FARMACÉUTICOS,
S.A. DE C.V.",Antiviral.
"RIMANTADINA, Clorhidrato de",Cápsula,100 mg,IV,GABIROL,78931 SSA,"PRODUCTOS FARMACÉUTICOS,
S.A. DE C.V.",Antiviral.
"RISEDRONATO DE SODIO /
VITAMINA D3 (Colecalciferol)",Tableta,"35 mg / 2000 UI,
35 mg / 2800 UI,
35 mg / 5600 UI,
150 mg / 12 000 UI   y
300 mg / 12 000 UI.",IV,SERALIS VIP,188M2007 SSA,"LANDSTEINER SCIENTIFIC, S.A. DE C.V.",Tratamiento y prevención de la osteoporosis en hombres y mujeres.
RISPERIDONA,Solución,100 mg/100 mL,IV,RISPERDAL,039M95 SSA,"JANSSEN-CILAG, S.A. DE C.V.","Ezquizofrenia, trastorno bipolar tipo 1, trastornos esquizoafectivos, niños y adolescentes con autismo."
RISPERIDONA,Tableta,"1 mg, 2 mg  y  3 mg",IV,RISPERDAL,098M93 SSA,"JANSSEN-CILAG, S.A. DE C.V.","Tratamiento de esquizofrenia, trastorno bipolar y autismo."
RISPERIDONA,Suspensión  (Inyectable / Liberación prolongada),"25 mg/2 mL  y
37.5 mg /2 mL",IV,RISPERDAL CONSTA,270M2002 SSA,"JANSSEN-CILAG, S.A. DE C.V.","Esquizofrenia, trastorno bipolar I, trastornos esquizoafectivos."
RITONAVIR,Tableta,100 mg,IV,NORVIR,244M2012 SSA,ABBVIE INC,Antirretroviral.
RIVAROXABÁN,Comprimido,"2.5 mg, 10 mg,
15 mg  y  20 mg",IV,XARELTO,357M2008 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Antitrombótico.
RIVASTIGMINA,Parche,"9 mg, 18 mg  y  27 mg",IV,EXELON,293M2007 SSA,"LABORATORIOS LKM, S.A.","Demencia entre leve y moderadamente severa de tipo Alzheimer. Demencia severa de tipo Alzheimer. Demencia entre leve y moderadamente grave asociada a la enfermedad
de Parkinson."
"RIZATRIPTAN, Benzoato de",Laminilla,5 mg  y  10 mg,IV,MAXALT RPD,024M98 SSA,"SCHERING-PLOUGH, S.A. DE C.V.",Antimigrañoso.
"ROCURONIO, Bromuro de",Solución (Inyectable),25 mg/2.5 mL   y 50 mg/5 mL,IV,ESMERON,235M96 SSA,MERCK SHARP & DOHME B.V.,"Adyuvante de la anestesia general para facilitar la intubación traqueal durante la inducción de rutina y de secuencia rápida, y para proporcionar relajación musculoesquelética durante la cirugía tanto en adultos como en pacientes pediátricos desde recién nacidos hasta adolescentes. Adyuvante en la unidad de cuidados intensivos para facilitar la intubación y ventilación mecánica."
ROSUVASTATINA cálcica,Tableta,"5 mg, 10 mg, 20 mg  y
40 mg",IV,CRESTOR,177M2003 SSA,"ASTRAZENECA, S.A. DE C.V.","Hipocolesterolemiante, hiperlipidemia mixta."
ROSUVASTATINA / EZETIMIBA,Tableta,"10 mg / 10 mg  y
20 mg / 10 mg",IV,TREZETE,019M2020 SSA,"LABORATORIOS SILANES, S.A. DE C.V.","Tratamiento y control de las dislipidemias. Reducción del coleterol LDL, colesterol total, apolipoproteína B (Apo B), triglicéridos elevados en pacientes con hipercolesterolemia primaria (familiar heterocigótica y no familiar) y dislipidemia mixta (Fredrickson tipos IIa e IIb). Reducción del colesterol total y LDL en pacientes con hipercolesterolemia familiar homocigótica tanto como monoterapia o como coadyuvante de la dieta y otros tratamientos hipolipemiantes (por ejemplo, aféresis de LDL) si dichos tratamientos no son suficientes."
ROTIGOTINA,Parche,"4.5 mg, 9 mg,
13.5 mg  y  18 mg",IV,NUBRENZA,249M2009 SSA,"PRODUCTOS FARMACÉUTICOS,
S.A. DE C.V.",Antiparkinsoniano.
"RUPATADINA, Fumarato de",Tableta,10 mg,IV,REPAFET,084M2011 SSA,"PRODUCTOS CIENTÍFICOS, S.A. DE C.V.","Antihistamínico para rinitis alérgica, estacional y perenne."
SACUBITRILO VALSARTÁN,Comprimido,"50 mg,  100 mg
y  200 mg",IV,ENTRESTO,521M2015 SSA,NOVARTIS PHARMA AG,Indicado para reducir el riesgo de muerte cardiovascular y hospitalización por insuficiencia cardiaca en pacientes adultos con insuficiencia cardiaca crónica. Los beneficios son más evidentes en pacientes con fracción de eyección ventricular izquierda (FEVI) por debajo de lo normal.
"SALBUTAMOL, Sulfato de",Solución (Para nebulización),"2.5 mg / 1 mL;
5 mg / 2.5 mL y  5 mg / 1mL",IV,VENTOLIN,86514 SSA,"GLAXO WELLCOME, S.A.",Broncodilatador.
"SALBUTAMOL, Sulfato de",Solución,0.040 g / 100 mL,IV,VENTOLIN,80307 SSA,"GLAXO WELLCOME, S.A.",Broncodilatador.
"SALBUTAMOL, Sulfato de (Micronizado)",Aerosol (Para inhalación),0.1328 g/ 100 g,IV,VENTOLIN,72948 SSA,"GLAXO WELLCOME, S.A.",Broncodilatador.
"SALMETEROL, Xinofoato de",Aerosol (Para inhalación),0.33 mg/ 1g,IV,SEREVENT,438M93 SSA,"GLAXO WELLCOME, S.A.",Broncodilatador.
"S-AMLODIPINO,
Nicotinato de",Tableta,2.5 mg,IV,ESLODINEPIN,005M2011 SSA,"ASOFARMA DE MÉXICO, S.A. DE C.V.",Antihipertensivo.
"SAXAGLIPTINA, Clorhidrato de",Tableta,2.5 mg  y  5 mg,IV,ONGLYZA,221M2009 SSA,"ASTRAZENECA, S.A. DE C.V.",Para el tratamiento de la diabetes mellitus tipo 2.
"SAXAGLIPTINA, Clorhidrato de / METFORMINA, Clorhidrato de",Tableta (Liberación inmediata / Liberación prolongada),"5 mg / 1000 mg;
5 mg / 500 mg  y
2.5 mg / 1000 mg",IV,KOMBIGLYZE XR,138M2012 SSA,"ASTRAZENECA, S.A. DE C.V.","Hipoglucemiante, tratamiento de Diabetes Mellitus tipo 2."
SECNIDAZOL,Comprimido,"250 mg, 500 mg  y
1 g",IV,SECNIDAL,82710 SSA,"SANOFI-AVENTIS DE MÉXICO,
S.A. DE C.V.",Tricomoniasis. Lamblicida. Antiamibiano.
"SELEGILINA, Clorhidrato de",Tableta,5 mg,IV,NIAR,052M96 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Antiparkinsoniano.
SENÓSIDOS A-B,Tableta,8.6 mg,VI,SENOKOT,51727 SSA,"GLAXOSMITHKLINE CONSUMER HEALTHCARE MÉXICO, S. DE R.L. DE C.V.",Laxante.
SENÓSIDOS A-B,Solución,200 mg/ 100 mL,VI,X-PREP LIQUIDO,66997 SSA,LABORATORIOS FERRING S.A.,Laxante.
SENÓSIDOS A-B,Tableta,17.2 mg,VI,SENOKOT F,093M91 SSA,"GLAXOSMITHKLINE CONSUMER HEALTHCARE MÉXICO, S. DE R.L. DE C.V.",Laxante.
"SENÓSIDOS A-B / PRUNUS DOMESTICA
(Ciruela Pasa)",Cápsula (Gelatina blanda),12 mg / 50 mg,VI,LAXACAPS,236M86 SSA,"GELCAPS EXPORTADORA DE MÉXICO,
S.A. DE C.V.",Laxante.
SENÓSIDOS / DOCUSATO DE SODIO,Comprimido,8.6 mg / 50 mg,VI,LAXOYA,390M2001 SSA,"DINAFARMA, S.A. DE C.V.",Laxante.
SERRATIOPEPTIDASA,Tableta,5 mg  y  10 mg,IV,DANZEN,76248 SSA,"GRIMANN, S.A. DE C.V.",Enzimas fibrinolíticas.
"SERTRALINA , Clorhidrato de",Tableta,50 mg  y  100 mg,IV,ALTRULINE,339M95 SSA,"PFIZER, S.A. DE C.V.","Antidepresivo, Inhibidor selectivo de recaptura de serotonina 5 HT"
"SERTRALINA , Clorhidrato de",Cápsula,100 mg,IV,ALTRULINE,208M92 SSA,ROTTAPHARM LIMITED,Depresión con o sin manía. Trastorno Obsesivo Compulsivo. Trastorno pánico. Trastorno de estrés postraumático. Fobia Social.
"SEVELÁMERO, Clorhidrato de",Comprimido,800 mg,IV,RENAGEL,001M2007 SSA,"SANOFI PASTEUR, S.A. DE C.V.",Para el control de la hiperfosfatemia
SEVOFLURANO,Solución (Para inhalación),100 mL,IV,SVOFAST,355M2005 SSA,"BAXTER, S.A. DE C.V.",Anestésico general.
"SILDENAFIL, Citrato de",Tableta,20 mg,IV,REVATHIO,297M2009 SSA,ROTTAPHARM LIMITED,Tratamiento de la hipertensión arterial pulmonar.
"SILDENAFIL, Citrato de",Tableta,50 mg  y  100 mg,IV,VIAGRA,213M98 SSA,"PFIZER, S.A. DE C.V.",Disfunción eréctil.
SILYBUM MARIANUM,Tableta,70 mg,IV,LEGALON,85592 SSA,MADAUS GMBH,Síndrome hepatorrenal.
SIMETICONA,Tableta (Masticable),0.050 g,VI,LIBERAN,56945 SSA,"PRODUCTOS CIENTÍFICOS, S.A. DE C.V.",Antiflatulento.
SIMETICONA / TRIMEBUTINA,Suspensión,2.308 g/ 0.6 g/100 mL,IV,LIBERTRIM SDP,047M2006 SSA,"PRODUCTOS CIENTÍFICOS, S.A. DE C.V.","Antiflatulento, regulador de la motilidad gastrointestinal."
SIROLIMUS,Tableta,1 mg,IV,RAPAMUNE,125M2001 SSA,"PFIZER, S.A. DE C.V.",Coadyuvante para la profilaxis del rechazo en el trasplante renal.
SIROLIMUS,Solución,1 mg/mL,IV,RAPAMUNE,099M2000 SSA,"PFIZER, S.A. DE C.V.",Coadyuvante para la profilaxis del rechazo de trasplante renal
SITAGLIPTINA,Comprimido,25 mg; 50 mg y 100mg,IV,JANUVIA,238M2006 SSA,MERCK SHARP & DOHME B.V.,Para el tratamiento de la diabetes mellitus tipo 2.
SITAGLIPTINA / METFORMINA,Comprimido,"50 mg / 500 mg; 50 mg /
850 mg y 50 mg /
1000 mg",IV,JANUMET,134M2007 SSA,MERCK SHARP & DOHME B.V.,Para el tratamiento de la diabetes mellitus tipo 2.
